,name,sex,age,is_adult,job,class_dept,is_passenger,joined,boat_body,ticketprice,survived
0,"ABBING, Mr Anthony",Male,41.0,True,Blacksmith,3rd Class Passenger,True,Southampton,unknown,7.55,False
1496,"ABBOTT, Mrs Rhoda Mary 'Rosa'",Female,39.0,True,unknown,3rd Class Passenger,True,Southampton,A,20.25,True
3,"ABBOTT, Mr Ernest Owen",Male,21.0,True,Lounge Pantry Steward,Victualling Crew,False,Southampton,unknown,0.0,False
2,"ABBOTT, Mr Eugene Joseph",Male,13.0,False,Scholar,3rd Class Passenger,True,Southampton,unknown,20.25,False
1,"ABBOTT, Mr Rossmore Edward",Male,16.0,False,Jeweller,3rd Class Passenger,True,Southampton,[190],20.25,False
1497,"ABELSETH, Miss Karen Marie",Female,16.0,False,unknown,3rd Class Passenger,True,Southampton,16,7.65,True
1498,"ABELSETH, Mr Olaus Jørgensen",Male,25.0,True,Farmer,3rd Class Passenger,True,Southampton,A,7.65,True
1499,"ABELSON, Mrs Anna",Female,24.0,True,unknown,2nd Class Passenger,True,Cherbourg,10,24.0,True
4,"ABELSON, Mr Samuel",Male,30.0,True,unknown,2nd Class Passenger,True,Cherbourg,unknown,24.0,False
1500,"ABRAHAMSSON, Mr August Abraham Johannes",Male,19.0,True,unknown,3rd Class Passenger,True,Southampton,15,7.925000000000001,True
7,"ABRAMS, Mr William Thomas",Male,34.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1501,"ABĪ SA'B, Mrs Sha'nīnah",Female,38.0,True,unknown,3rd Class Passenger,True,Cherbourg,C,7.229166666666667,True
5,"ABĪ SA'B, Mr Jirjis Yūsuf",Male,45.0,True,Shoemaker,3rd Class Passenger,True,Cherbourg,[312],7.2250000000000005,False
6,"ABĪ SHADĪD, Mr Dāhir",Male,19.0,True,unknown,3rd Class Passenger,True,Cherbourg,[9],7.2250000000000005,False
1502,"ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim",Male,27.0,True,unknown,3rd Class Passenger,True,Cherbourg,15,18.7875,True
10,"ADAMS, Mr John",Male,26.0,True,unknown,3rd Class Passenger,True,Southampton,[103],8.05,False
9,"ADAMS, Mr Robert John",Male,26.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
11,"AHIER, Mr Percy Snowden",Male,20.0,True,Saloon Steward,Victualling Crew,False,Southampton,unknown,0.0,False
12,"AHLIN, Mrs Johanna Persdotter",Female,40.0,True,unknown,3rd Class Passenger,True,Southampton,unknown,9.475,False
13,"AHMED, Mr Ali",Male,24.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.05,False
16,"AKERMAN, Mr Albert Edward",Male,31.0,True,3rd Class Steward,Victualling Crew,False,Southampton,unknown,0.0,False
15,"AKERMAN, Mr Joseph Francis",Male,37.0,True,Assistant Pantryman Steward,Victualling Crew,False,Southampton,[205],0.0,False
1503,"AKS, Master Philip",Male,0.83,False,unknown,3rd Class Passenger,True,Southampton,11,9.35,True
1504,"AKS, Mrs Leah",Female,21.0,True,unknown,3rd Class Passenger,True,Southampton,13,9.35,True
1505,"AL-BA'QLĪNĪ, Miss Hilānah",Female,0.75,False,unknown,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
1506,"AL-BA'QLĪNĪ, Miss Mārīyā",Female,5.0,False,unknown,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
1507,"AL-BA'QLĪNĪ, Miss Ūwjīnīyā",Female,3.0,False,unknown,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
1508,"AL-BA'QLĪNĪ, Mrs Laṭīfah",Female,23.0,True,unknown,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
17,"AL-MUNÀ, Mr Farīd Husayn Qāsim",Male,19.0,True,Farmer,3rd Class Passenger,True,Cherbourg,unknown,7.229166666666667,False
1509,"AL-ZA'INNĪ, Mr Fahīm Rūḥānā",Male,25.0,True,General Labourer,3rd Class Passenger,True,Cherbourg,6,7.2250000000000005,True
18,"ALDWORTH, Mr Augustus Henry",Male,35.0,True,Chauffeur,2nd Class Passenger,True,Southampton,unknown,13.0,False
19,"ALEXANDER, Mr William Albert",Male,24.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.887499999999999,False
20,"ALHOMÄKI, Mr Ilmari Rudolf",Male,19.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.925000000000001,False
21,"ALI, Mr William",Male,25.0,True,General Labourer,3rd Class Passenger,True,Southampton,[79],7.05,False
22,"ALLARIA, Sig. Battista Antonio",Male,22.0,True,Assistant Waiter,Restaurant Staff,False,Southampton,[221],0.0,False
1510,"ALLEN, Miss Elisabeth Walton",Female,29.0,True,unknown,1st Class Passenger,True,Southampton,2,214.0375,True
1511,"ALLEN, Mr Ernest Frederick",Male,24.0,True,Trimmer,Engineering Crew,False,Southampton,B,0.0,True
23,"ALLEN, Mr George",Male,26.0,True,Scullion,Victualling Crew,False,Southampton,unknown,0.0,False
25,"ALLEN, Mr Henry",Male,30.0,True,Fireman,Engineering Crew,False,Southampton,[145],0.0,False
26,"ALLEN, Mr Robert Spencer",Male,35.0,True,Bedroom Steward (1st Class),Victualling Crew,False,Southampton,unknown,0.0,False
24,"ALLEN, Mr William Henry",Male,39.0,True,Tool Maker,3rd Class Passenger,True,Southampton,unknown,8.05,False
1512,"ALLISON, Master Hudson Trevor",Male,0.92,False,unknown,1st Class Passenger,True,Southampton,11,151.8,True
